,YEAR,INST_ID,INST_NAME,INST_STATE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND
0,2007,1001,Charles R. Drew University of Medicine & Science,CA,47188,0,0,0,0,40019,0,0,0,0,22906,0,51592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2007,1002,Alabama A&M University,AL,14431,114816,7064,9383,20043,0,3170,0,10000,0,400,11657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2007,1003,Alabama State University,AL,1900,0,10608,3500,0,0,2175,0,8009,1664,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,0,20000000
3,2007,1005,Tuskegee University,AL,11651,95835,28357,13250,153051,18780,0,0,0,0,0,81000,0,0,7522870,0,4005636,0,0,0,0,0,0,0,0,7042014,0,4486492,11528506,9206,0,3826615,3835821
4,2007,1006,The University of Alabama,AL,35129,0,33096,2743,87373,0,0,7119,55303,2992,15705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2007,1007,University of Alabama at Birmingham,AL,331436,0,282201,286,27148,511159,290,0,11195,10475,1278,0,419081,0,1082020,0,0,1862773,0,0,0,0,0,0,1862773,2616585,0,328208,2944793,0,0,0,0
6,2007,1008,University of Alabama at Huntsville,AL,59231,0,15371,22217,116156,0,4781,12034,67635,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2007,1009,University of South Alabama,AL,19308,0,67487,603,15756,27931,272,3568,2752,1892,3860,0,88425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3060000,7191000,5049000,15300000
8,2007,1010,Arizona State University,AZ,201955,789,162223,11150,250486,16910,10548,53150,101461,34534,29796,3475,0,0,250000,0,0,0,0,0,1263000,853000,0,0,0,0,0,2366000,2366000,0,0,0,0
9,2007,1011,Northern Arizona University,AZ,27632,6338,43240,700,13095,5283,206,17608,11912,20484,4089,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,750000,750000,0,0,0,0
10,2007,1012,University of Arizona,AZ,535847,626307,102565,12724,127826,476776,4074,179066,412922,20922,74606,0,403059,7110473,0,0,0,336303,0,993519,3245000,0,0,0,0,0,2409408,9275887,11685295,0,0,18604872,18604872
11,2007,1013,University of Arkansas at Pine Bluff,AR,6774,12000,48500,2750,0,0,4000,0,12740,1500,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2007,1014,Arkansas State University,AR,6007,41181,43000,1500,13120,2500,2800,2000,21623,5200,2450,71431,0,0,403000,0,0,0,0,0,0,0,0,0,0,0,403000,0,403000,0,0,0,0
13,2007,1015,University of Central Arkansas,AR,7002,0,17615,3257,0,8623,1922,0,38025,3287,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2007,1016,University of Arkansas at Little Rock,AR,9331,0,14241,6944,48870,0,0,2000,11200,4984,0,1500,0,0,0,0,0,0,0,0,0,0,0,3000000,0,0,3000000,0,3000000,0,0,0,0
15,2007,1017,University of Arkansas,AR,99271,394481,125857,25380,213540,5098,11358,13397,99045,17073,67139,0,0,0,0,0,0,0,0,0,6165000,0,0,0,0,2000000,0,4165000,6165000,0,0,8300000,8300000
16,2007,1018,University of Arkansas for Medical Sciences,AR,107871,0,107000,0,0,2000,0,0,0,0,0,0,96653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2007,1019,California Institute of Technology,CA,270269,0,190926,17410,182347,0,2561,60156,236881,0,8013,0,0,0,0,0,10212409,0,0,0,0,0,0,0,0,0,0,10212409,10212409,0,0,45622214,45622214
18,2007,1020,California State University-Fullerton,CA,4522,0,16231,0,0,2440,200,4906,13676,1721,8740,0,0,0,800000,0,0,0,0,0,0,0,0,0,0,0,0,800000,800000,0,0,0,0
19,2007,1021,California State University-Long Beach,CA,10322,0,21000,3320,26184,2088,830,438,22700,4682,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2007,1022,California State University-Los Angeles,CA,8956,0,26239,1125,2720,954,823,1278,37504,4559,1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0s
