,YEAR,INST_ID,INST_NAME,INST_STATE,TOC_CODE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND,NASF_NR,RR_NR,NASF_CLIN_TRIAL
0,2007,1001,Charles R. Drew University of Medicine & Science,CA,2,47188,0.0,0,0.0,0.0,40019.0,0.0,0.0,0.0,0,22906.0,0.0,51592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1,2007,1002,Alabama A&M University,AL,1,14431,114816.0,7064,9383.0,20043.0,0.0,3170.0,0.0,10000.0,0,400.0,11657.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2,2007,1003,Alabama State University,AL,1,1900,0.0,10608,3500.0,0.0,0.0,2175.0,0.0,8009.0,1664,1664.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,0,20000000,,,
3,2007,1005,Tuskegee University,AL,2,11651,95835.0,28357,13250.0,153051.0,18780.0,0.0,0.0,0.0,0,0.0,81000.0,0,0,7522870,0,4005636,0,0,0,0,0,0,0,0,7042014,0,4486492,11528506,9206,0,3826615,3835821,,,
4,2007,1006,The University of Alabama,AL,1,35129,0.0,33096,2743.0,87373.0,0.0,0.0,7119.0,55303.0,2992,15705.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5,2007,1007,University of Alabama at Birmingham,AL,1,331436,0.0,282201,286.0,27148.0,511159.0,290.0,0.0,11195.0,10475,1278.0,0.0,419081,0,1082020,0,0,1862773,0,0,0,0,0,0,1862773,2616585,0,328208,2944793,0,0,0,0,,,
6,2007,1008,University of Alabama at Huntsville,AL,1,59231,0.0,15371,22217.0,116156.0,0.0,4781.0,12034.0,67635.0,1199,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7,2007,1009,University of South Alabama,AL,1,19308,0.0,67487,603.0,15756.0,27931.0,272.0,3568.0,2752.0,1892,3860.0,0.0,88425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3060000,7191000,5049000,15300000,,,
8,2007,1010,Arizona State University,AZ,1,201955,789.0,162223,11150.0,250486.0,16910.0,10548.0,53150.0,101461.0,34534,29796.0,3475.0,0,0,250000,0,0,0,0,0,1263000,853000,0,0,0,0,0,2366000,2366000,0,0,0,0,,,
9,2007,1011,Northern Arizona University,AZ,1,27632,6338.0,43240,700.0,13095.0,5283.0,206.0,17608.0,11912.0,20484,4089.0,0.0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,750000,750000,0,0,0,0,,,
10,2007,1012,University of Arizona,AZ,1,535847,626307.0,102565,12724.0,127826.0,476776.0,4074.0,179066.0,412922.0,20922,74606.0,0.0,403059,7110473,0,0,0,336303,0,993519,3245000,0,0,0,0,0,2409408,9275887,11685295,0,0,18604872,18604872,,,
11,2007,1013,University of Arkansas at Pine Bluff,AR,1,6774,12000.0,48500,2750.0,0.0,0.0,4000.0,0.0,12740.0,1500,5800.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
12,2007,1014,Arkansas State University,AR,1,6007,41181.0,43000,1500.0,13120.0,2500.0,2800.0,2000.0,21623.0,5200,2450.0,71431.0,0,0,403000,0,0,0,0,0,0,0,0,0,0,0,403000,0,403000,0,0,0,0,,,
13,2007,1015,University of Central Arkansas,AR,1,7002,0.0,17615,3257.0,0.0,8623.0,1922.0,0.0,38025.0,3287,1653.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
14,2007,1016,University of Arkansas at Little Rock,AR,1,9331,0.0,14241,6944.0,48870.0,0.0,0.0,2000.0,11200.0,4984,0.0,1500.0,0,0,0,0,0,0,0,0,0,0,0,3000000,0,0,3000000,0,3000000,0,0,0,0,,,
15,2007,1017,University of Arkansas,AR,1,99271,394481.0,125857,25380.0,213540.0,5098.0,11358.0,13397.0,99045.0,17073,67139.0,0.0,0,0,0,0,0,0,0,0,6165000,0,0,0,0,2000000,0,4165000,6165000,0,0,8300000,8300000,,,
16,2007,1018,University of Arkansas for Medical Sciences,AR,1,107871,0.0,107000,0.0,0.0,2000.0,0.0,0.0,0.0,0,0.0,0.0,96653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
17,2007,1019,California Institute of Technology,CA,2,270269,0.0,190926,17410.0,182347.0,0.0,2561.0,60156.0,236881.0,0,8013.0,0.0,0,0,0,0,10212409,0,0,0,0,0,0,0,0,0,0,10212409,10212409,0,0,45622214,45622214,,,
18,2007,1020,California State University-Fullerton,CA,1,4522,0.0,16231,0.0,0.0,2440.0,200.0,4906.0,13676.0,1721,8740.0,0.0,0,0,800000,0,0,0,0,0,0,0,0,0,0,0,0,800000,800000,0,0,0,0,,,
19,2007,1021,California State University-Long Beach,CA,1,10322,0.0,21000,3320.0,26184.0,2088.0,830.0,438.0,22700.0,4682,1240.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20,2007,1022,California State University-Los Angeles,CA,1,8956,0.0,26239,1125.0,2720.0,954.0,823.0,1278.0,37504.0,4559,1615.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
